7.3, 2866, 3, RS, III
145.1, 1879, 2, FS, V
145.1, 1898, 2, FS, V
145.1, 1928, 2, IB, V
145.1, 2817, 3, LTS, IV
145.2, 320, 0, RS, V
145.2, 360, 0, FS, V
145.2, 376, 0, FS, V
145.2, 2691, 3, IB, V
145.3, 368, 0, FS, V
145.3, 1871, 2, FS, V
145.3, 1905, 2, FS, V
145.3, 2602, 3, RS, V
145.3, 2649, 3, FS, V
145.3, 2655, 3, FS, V
145.3, 2698, 3, IB, V
145.4, 421, 0, IB, V
145.4, 1132, 1, FS, V
145.4, 1144, 1, FS, V
145.4, 1904, 2, FS, V
145.4, 2663, 3, FS, V
145.4, 2814, 3, LTS, IV
145.5, 1125, 1, FS, V
145.5, 1137, 1, FS, V
145.5, 1907, 2, FS, V
145.5, 2633, 3, FS, V
145.5, 2640, 3, FS, V
145.5, 2646, 3, FS, V
145.5, 2712, 3, IB, V
145.5, 2860, 3, RS, III
145.5, 3022, 3, FS, III
145.6, 426, 0, IB, V
145.6, 1138, 1, FS, V
145.6, 2625, 3, RS, V
145.6, 2666, 3, FS, V
145.6, 2819, 3, LTS, IV
145.6, 3020, 3, FS, III
145.6, 3030, 3, FS, III
145.6, 3397, 4, FS, V
145.7, 295, 0, RS, V
145.7, 351, 0, FS, V
145.8, 276, 0, RS, V
145.8, 357, 0, FS, V
145.8, 1112, 1, FS, V
145.8, 1128, 1, FS, V
145.8, 1892, 2, FS, V
145.8, 2652, 3, FS, V
145.8, 2664, 3, FS, V
145.9, 296, 0, RS, V
145.9, 365, 0, FS, V
145.9, 1120, 1, FS, V
145.9, 2608, 3, RS, V
145.9, 2667, 3, FS, V
145.9, 2946, 3, RS, III
145.9, 3031, 3, FS, III
146, 380, 0, FS, V
146, 382, 0, FS, V
146, 409, 0, IB, V
146, 410, 0, IB, V
146, 1179, 1, IB, V
146, 1872, 2, FS, V
146, 1906, 2, FS, V
146, 2609, 3, RS, V
146, 3418, 4, FS, V
146.1, 275, 0, RS, V
146.1, 1122, 1, FS, V
146.1, 1882, 2, FS, V
146.1, 1902, 2, FS, V
146.1, 2558, 3, RS, V
146.1, 2648, 3, FS, V
146.2, 318, 0, RS, V
146.2, 383, 0, FS, V
146.2, 547, 0, RS, III
146.2, 1883, 2, FS, V
146.2, 1891, 2, FS, V
146.2, 2906, 3, RS, III
146.2, 2921, 3, RS, III
146.3, 278, 0, RS, V
146.3, 371, 0, FS, V
146.3, 583, 0, RS, III
146.3, 1116, 1, FS, V
146.3, 1135, 1, FS, V
146.3, 2634, 3, FS, V
146.3, 3016, 3, FS, III
146.4, 353, 0, FS, V
146.4, 695, 0, RS, III
146.4, 1136, 1, FS, V
146.4, 1877, 2, FS, V
146.4, 1903, 2, FS, V
146.4, 2131, 2, RS, III
146.4, 2642, 3, FS, V
146.4, 2858, 3, RS, III
146.4, 3019, 3, FS, III
146.5, 1110, 1, FS, V
146.5, 2632, 3, FS, V
146.5, 3399, 4, FS, V
146.6, 306, 0, RS, V
146.6, 336, 0, RS, V
146.6, 352, 0, FS, V
146.6, 374, 0, FS, V
146.6, 1113, 1, FS, V
146.6, 1499, 1, FS, III
146.6, 2568, 3, RS, V
146.6, 3408, 4, FS, V
146.7, 319, 0, RS, V
146.7, 366, 0, FS, V
146.7, 367, 0, FS, V
146.7, 373, 0, FS, V
146.7, 377, 0, FS, V
146.7, 2578, 3, RS, V
146.7, 2645, 3, FS, V
146.7, 2651, 3, FS, V
146.7, 2702, 3, IB, V
146.7, 3003, 3, FS, III
146.7, 3043, 3, LTS, III
146.8, 304, 0, RS, V
146.8, 1084, 1, RS, V
146.8, 1146, 1, FS, V
146.8, 2252, 2, FS, III
146.9, 378, 0, FS, V
146.9, 642, 0, RS, III
146.9, 740, 0, FS, III
146.9, 1130, 1, FS, V
146.9, 1484, 1, FS, III
146.9, 1894, 2, FS, V
146.9, 1945, 2, IB, V
146.9, 2163, 2, RS, III
146.9, 3417, 4, FS, V
146.9, 3421, 4, FS, V
147, 384, 0, FS, V
147, 2644, 3, FS, V
147, 2703, 3, IB, V
147, 3426, 4, FS, V
147.1, 1874, 2, FS, V
147.1, 1881, 2, FS, V
147.1, 2658, 3, FS, V
147.1, 3027, 3, FS, III
147.2, 1845, 2, RS, V
147.2, 2638, 3, FS, V
147.2, 2707, 3, IB, V
147.2, 2827, 3, LTS, IV
147.2, 3021, 3, FS, III
147.2, 3398, 4, FS, V
147.3, 350, 0, FS, V
147.3, 354, 0, FS, V
147.3, 355, 0, FS, V
147.3, 359, 0, FS, V
147.3, 361, 0, FS, V
147.3, 370, 0, FS, V
147.3, 638, 0, RS, III
147.3, 724, 0, FS, III
147.3, 2261, 2, FS, III
147.3, 2583, 3, RS, V
147.3, 3403, 4, FS, V
147.3, 3420, 4, FS, V
147.4, 283, 0, RS, V
147.4, 635, 0, RS, III
147.4, 1118, 1, FS, V
147.4, 1170, 1, IB, V
147.4, 2653, 3, FS, V
147.4, 2804, 3, FS, IV
147.5, 273, 0, RS, V
147.5, 363, 0, FS, V
147.5, 381, 0, FS, V
147.5, 558, 0, RS, III
147.5, 1901, 2, FS, V
147.5, 2128, 2, RS, III
147.6, 284, 0, RS, V
147.6, 335, 0, RS, V
147.6, 615, 0, RS, III
147.6, 1115, 1, FS, V
147.6, 1133, 1, FS, V
147.6, 2708, 3, IB, V
147.6, 3010, 3, FS, III
147.6, 3042, 3, LTS, III
147.6, 3405, 4, FS, V
147.6, 3411, 4, FS, V
147.7, 721, 0, FS, III
147.7, 1491, 1, FS, III
147.7, 3007, 3, FS, III
147.8, 372, 0, FS, V
147.8, 586, 0, RS, III
147.8, 2310, 3, RS, VI
147.8, 2816, 3, LTS, IV
147.8, 2991, 3, RS, III
147.8, 3400, 4, FS, V
147.8, 3425, 4, FS, V
147.9, 379, 0, FS, V
147.9, 726, 0, FS, III
147.9, 3012, 3, FS, III
147.9, 3037, 3, LTS, III
147.9, 3424, 4, FS, V
147.9, 3466, 4, IB, V
148, 358, 0, FS, V
148, 385, 0, FS, V
148, 1900, 2, FS, V
148, 2641, 3, FS, V
148, 2661, 3, FS, V
148, 2821, 3, LTS, IV
148, 3637, 4, RS, III
148.1, 360, 0, FS, V
148.1, 362, 0, FS, V
148.1, 1119, 1, FS, V
148.1, 1488, 1, FS, III
148.1, 1884, 2, FS, V
148.1, 1886, 2, FS, V
148.1, 2564, 3, RS, V
148.2, 375, 0, FS, V
148.2, 574, 0, RS, III
148.2, 760, 0, LTS, III
148.2, 1121, 1, FS, V
148.2, 2149, 2, RS, III
148.2, 2656, 3, FS, V
148.3, 364, 0, FS, V
148.3, 718, 0, FS, III
148.3, 1190, 1, IB, V
148.3, 2270, 2, FS, III
148.3, 3410, 4, FS, V
148.4, 356, 0, FS, V
148.4, 369, 0, FS, V
148.4, 1123, 1, FS, V
148.4, 1772, 2, FS, VI
148.4, 2823, 3, LTS, IV
148.4, 3396, 4, FS, V
148.4, 3407, 4, FS, V
148.4, 3413, 4, FS, V
148.4, 3416, 4, FS, V
148.4, 3423, 4, FS, V
148.5, 533, 0, LTS, IV
148.5, 682, 0, RS, III
148.5, 2240, 2, FS, III
148.5, 3406, 4, FS, V
148.6, 351, 0, FS, V
148.6, 532, 0, LTS, IV
148.6, 743, 0, FS, III
148.6, 745, 0, FS, III
148.6, 996, 1, RS, VI
148.6, 1490, 1, FS, III
148.6, 2267, 2, FS, III
148.6, 2586, 3, RS, V
148.6, 2796, 3, FS, IV
148.6, 2825, 3, LTS, IV
148.6, 3038, 3, LTS, III
148.7, 616, 0, RS, III
148.7, 736, 0, FS, III
148.7, 2807, 3, FS, IV
148.7, 2971, 3, RS, III
148.7, 3039, 3, LTS, III
148.8, 349, 0, FS, V
148.8, 538, 0, LTS, IV
148.9, 293, 0, RS, V
148.9, 382, 0, FS, V
148.9, 684, 0, RS, III
148.9, 735, 0, FS, III
148.9, 753, 0, LTS, III
148.9, 1126, 1, FS, V
148.9, 1139, 1, FS, V
148.9, 2242, 2, FS, III
148.9, 2809, 3, FS, IV
148.9, 3414, 4, FS, V
149, 529, 0, LTS, IV
149, 2789, 3, FS, IV
149, 3415, 4, FS, V
149.1, 748, 0, FS, III
149.1, 2259, 2, FS, III
149.1, 2826, 3, LTS, IV
149.1, 3017, 3, FS, III
149.1, 3029, 3, FS, III
149.1, 3036, 3, LTS, III
149.2, 744, 0, FS, III
149.2, 1142, 1, FS, V
149.2, 2104, 2, RS, III
149.3, 3006, 3, FS, III
149.3, 3404, 4, FS, V
149.4, 675, 0, RS, III
149.4, 723, 0, FS, III
149.4, 3401, 4, FS, V
149.5, 305, 0, RS, V
149.5, 542, 0, LTS, IV
149.5, 738, 0, FS, III
149.5, 742, 0, FS, III
149.5, 2348, 3, RS, VI
149.5, 2808, 3, FS, IV
149.5, 2824, 3, LTS, IV
149.5, 3011, 3, FS, III
149.5, 3419, 4, FS, V
149.6, 310, 0, RS, V
149.6, 2268, 2, FS, III
149.6, 2882, 3, RS, III
149.6, 3427, 4, FS, V
149.7, 641, 0, RS, III
149.7, 2269, 2, FS, III
149.7, 3429, 4, FS, V
149.8, 345, 0, RS, V
149.8, 3020, 3, FS, III
149.8, 3035, 3, LTS, III
149.9, 367, 0, FS, V
149.9, 552, 0, RS, III
149.9, 619, 0, RS, III
149.9, 634, 0, RS, III
149.9, 680, 0, RS, III
149.9, 693, 0, RS, III
149.9, 734, 0, FS, III
149.9, 1314, 1, RS, III
150, 568, 0, RS, III
150, 2381, 3, RS, VI
150, 2820, 3, LTS, IV
150, 3009, 3, FS, III
150, 3393, 4, FS, V
150, 3428, 4, FS, V
150.1, 543, 0, LTS, IV
150.1, 667, 0, RS, III
150.1, 733, 0, FS, III
150.1, 2901, 3, RS, III
150.2, 371, 0, FS, V
150.2, 732, 0, FS, III
150.2, 2280, 2, LTS, III
150.2, 3399, 4, FS, V
150.3, 46, 0, RS, VI
150.3, 1128, 1, FS, V
150.3, 1487, 1, FS, III
150.3, 2145, 2, RS, III
150.3, 2800, 3, FS, IV
150.4, 2803, 3, FS, IV
150.5, 660, 0, RS, III
150.5, 1384, 1, RS, III
150.5, 2828, 3, LTS, IV
150.6, 384, 0, FS, V
150.6, 3015, 3, FS, III
150.6, 3023, 3, FS, III
150.7, 357, 0, FS, V
150.7, 2704, 3, IB, V
150.8, 505, 0, FS, IV
150.8, 750, 0, FS, III
150.8, 758, 0, LTS, III
150.8, 1501, 1, FS, III
150.8, 2113, 2, RS, III
150.8, 2187, 2, RS, III
150.9, 514, 0, FS, IV
150.9, 621, 0, RS, III
150.9, 722, 0, FS, III
151, 719, 0, FS, III
151, 3792, 4, FS, III
151.1, 383, 0, FS, V
151.1, 510, 0, FS, IV
151.1, 2243, 2, FS, III
151.1, 2976, 3, RS, III
151.2, 598, 0, RS, III
151.2, 728, 0, FS, III
151.3, 417, 0, IB, V
151.3, 418, 0, IB, V
151.3, 522, 0, FS, IV
151.3, 2282, 2, LTS, III
151.3, 2798, 3, FS, IV
151.4, 1143, 1, FS, V
151.4, 3041, 3, LTS, III
151.4, 3463, 4, IB, V
151.5, 127, 0, RS, VI
151.5, 605, 0, RS, III
151.5, 622, 0, RS, III
151.6, 696, 0, RS, III
151.6, 725, 0, FS, III
151.7, 508, 0, FS, IV
151.7, 729, 0, FS, III
151.7, 741, 0, FS, III
151.7, 2246, 2, FS, III
151.7, 2258, 2, FS, III
151.8, 581, 0, RS, III
151.8, 648, 0, RS, III
151.9, 544, 0, LTS, IV
151.9, 718, 0, FS, III
151.9, 2845, 3, RS, III
151.9, 3003, 3, FS, III
152, 534, 0, LTS, IV
152, 591, 0, RS, III
152, 720, 0, FS, III
152, 2954, 3, RS, III
152.1, 1295, 1, LTS, IV
152.1, 2058, 2, LTS, IV
152.2, 2844, 3, RS, III
152.3, 613, 0, RS, III
152.3, 2812, 3, LTS, IV
152.4, 582, 0, RS, III
152.5, 525, 0, FS, IV
152.5, 531, 0, LTS, IV
152.5, 1171, 1, IB, V
152.6, 380, 0, FS, V
152.6, 688, 0, RS, III
152.6, 691, 0, RS, III
152.6, 2276, 2, LTS, III
152.6, 2813, 3, LTS, IV
152.8, 721, 0, FS, III
152.8, 734, 0, FS, III
152.8, 759, 0, LTS, III
152.8, 1186, 1, IB, V
153.1, 536, 0, LTS, IV
153.2, 670, 0, RS, III
153.2, 2253, 2, FS, III
153.3, 2265, 2, FS, III
153.4, 540, 0, LTS, IV
153.4, 588, 0, RS, III
153.4, 1932, 2, IB, V
153.5, 752, 0, LTS, III
153.6, 414, 0, IB, V
153.6, 512, 0, FS, IV
153.6, 3263, 4, RS, VI
153.7, 2919, 3, RS, III
153.8, 1494, 1, FS, III
153.9, 2509, 3, RS, VI
154, 519, 0, FS, IV
154.2, 3310, 4, LTS, VI
154.2, 3787, 4, FS, III
154.3, 569, 0, RS, III
154.4, 421, 0, IB, V
154.6, 537, 0, LTS, IV
154.7, 92, 0, RS, VI
154.9, 1882, 2, FS, V
155.2, 2896, 3, RS, III
155.3, 2292, 3, RS, VI
155.9, 2055, 2, LTS, IV
156.7, 929, 1, RS, VI
156.8, 406, 0, IB, V
156.8, 618, 0, RS, III
157, 289, 0, RS, V
157, 414, 0, IB, V
157.1, 147, 0, RS, VI
157.1, 422, 0, IB, V
157.2, 428, 0, IB, V
157.6, 285, 0, RS, V
157.6, 412, 0, IB, V
157.8, 426, 0, IB, V
157.9, 410, 0, IB, V
157.9, 429, 0, IB, V
157.9, 763, 1, RS, VI
158, 417, 0, IB, V
158.1, 411, 0, IB, V
158.2, 843, 1, RS, VI
158.4, 2695, 3, IB, V
158.5, 21, 0, RS, VI
158.5, 423, 0, IB, V
158.5, 1030, 1, LTS, VI
158.5, 3773, 4, FS, III
158.7, 110, 0, RS, VI
158.8, 274, 0, RS, V
158.8, 420, 0, IB, V
159.3, 232, 0, RS, VI
159.3, 413, 0, IB, V
159.6, 431, 0, IB, V
159.7, 330, 0, RS, V
159.7, 2400, 3, RS, VI
159.9, 309, 0, RS, V
160.2, 316, 0, RS, V
160.2, 406, 0, IB, V
160.5, 422, 0, IB, V
160.6, 283, 0, RS, V
160.6, 428, 0, IB, V
160.7, 2587, 3, RS, V
161, 412, 0, IB, V
161.1, 2697, 3, IB, V
161.4, 417, 0, IB, V
161.4, 3799, 4, LTS, III
161.5, 411, 0, IB, V
161.6, 414, 0, IB, V
161.7, 294, 0, RS, V
161.8, 277, 0, RS, V
161.9, 416, 0, IB, V
161.9, 2709, 3, IB, V
162.7, 423, 0, IB, V
163, 431, 0, IB, V
163.3, 3589, 4, LTS, IV
163.4, 429, 0, IB, V
163.5, 201, 0, RS, VI
163.5, 420, 0, IB, V
163.7, 3273, 4, RS, VI
163.7, 3586, 4, LTS, IV
163.8, 405, 0, IB, V
163.9, 311, 0, RS, V
164, 195, 0, RS, VI
164, 374, 0, FS, V
164.2, 1136, 1, FS, V
164.4, 1115, 1, FS, V
164.5, 424, 0, IB, V
164.6, 1128, 1, FS, V
165.1, 323, 0, RS, V
165.1, 1131, 1, FS, V
165.2, 326, 0, RS, V
165.2, 349, 0, FS, V
165.3, 371, 0, FS, V
165.3, 384, 0, FS, V
165.4, 267, 0, LTS, VI
165.4, 337, 0, RS, V
165.4, 370, 0, FS, V
165.4, 381, 0, FS, V
165.6, 369, 0, FS, V
165.6, 1141, 1, FS, V
165.7, 376, 0, FS, V
165.8, 863, 1, RS, VI
165.8, 2401, 3, RS, VI
165.9, 297, 0, RS, V
165.9, 1878, 2, FS, V
166, 358, 0, FS, V
166.1, 353, 0, FS, V
166.1, 1144, 1, FS, V
166.2, 1142, 1, FS, V
166.2, 1641, 2, RS, VI
166.3, 1583, 2, RS, VI
166.4, 300, 0, RS, V
166.4, 431, 0, IB, V
166.6, 329, 0, RS, V
166.6, 379, 0, FS, V
166.8, 354, 0, FS, V
166.8, 1132, 1, FS, V
166.9, 351, 0, FS, V
166.9, 1121, 1, FS, V
167, 22, 0, RS, VI
167, 357, 0, FS, V
167, 410, 0, IB, V
167.1, 1134, 1, FS, V
167.2, 355, 0, FS, V
167.2, 1145, 1, FS, V
167.3, 368, 0, FS, V
167.3, 1124, 1, FS, V
167.3, 1138, 1, FS, V
167.4, 1120, 1, FS, V
167.4, 1933, 2, IB, V
167.6, 378, 0, FS, V
167.6, 1129, 1, FS, V
167.7, 1112, 1, FS, V
167.8, 364, 0, FS, V
167.9, 312, 0, RS, V
167.9, 361, 0, FS, V
167.9, 1119, 1, FS, V
168, 409, 0, IB, V
168, 1123, 1, FS, V
168.1, 281, 0, RS, V
168.1, 1130, 1, FS, V
168.1, 1140, 1, FS, V
168.2, 236, 0, FS, VI
168.2, 1133, 1, FS, V
168.3, 352, 0, FS, V
168.3, 602, 0, RS, III
168.3, 1110, 1, FS, V
168.4, 124, 0, RS, VI
168.4, 367, 0, FS, V
168.4, 371, 0, FS, V
168.5, 142, 0, RS, VI
168.5, 427, 0, IB, V
168.5, 530, 0, LTS, IV
168.7, 1122, 1, FS, V
168.8, 407, 0, IB, V
168.8, 3462, 4, IB, V
169, 382, 0, FS, V
169, 415, 0, IB, V
169.1, 360, 0, FS, V
169.1, 1126, 1, FS, V
169.2, 868, 1, RS, VI
169.2, 3252, 4, RS, VI
169.3, 313, 0, RS, V
169.3, 1117, 1, FS, V
169.4, 919, 1, RS, VI
169.5, 139, 0, RS, VI
169.5, 349, 0, FS, V
169.6, 430, 0, IB, V
169.7, 383, 0, FS, V
169.7, 411, 0, IB, V
169.8, 966, 1, RS, VI
169.9, 172, 0, RS, VI
170.2, 425, 0, IB, V
170.2, 1125, 1, FS, V
170.3, 384, 0, FS, V
170.6, 369, 0, FS, V
170.6, 374, 0, FS, V
170.7, 1879, 2, FS, V
170.8, 341, 0, RS, V
170.9, 288, 0, RS, V
171.1, 231, 0, RS, VI
171.1, 875, 1, RS, VI
171.1, 1131, 1, FS, V
171.3, 214, 0, RS, VI
171.3, 1871, 2, FS, V
171.8, 358, 0, FS, V
171.8, 376, 0, FS, V
171.9, 916, 1, RS, VI
172, 72, 0, RS, VI
172.6, 418, 0, IB, V
172.8, 113, 0, RS, VI
172.9, 357, 0, FS, V
173, 3313, 4, LTS, VI
173, 3573, 4, LTS, IV
173.2, 356, 0, FS, V
174.2, 1897, 2, FS, V
174.7, 67, 0, RS, VI
174.8, 1881, 2, FS, V
174.9, 1875, 2, FS, V
175.1, 571, 0, RS, III
175.2, 543, 0, LTS, IV
175.3, 154, 0, RS, VI
175.4, 66, 0, RS, VI
175.6, 1887, 2, FS, V
175.7, 1894, 2, FS, V
175.8, 1888, 2, FS, V
176.1, 1893, 2, FS, V
176.2, 264, 0, LTS, VI
176.3, 167, 0, RS, VI
176.3, 1886, 2, FS, V
176.5, 40, 0, RS, VI
176.6, 647, 0, RS, III
176.7, 793, 1, RS, VI
176.9, 116, 0, RS, VI
177.2, 3578, 4, LTS, IV
177.4, 1903, 2, FS, V
177.7, 662, 0, RS, III
177.8, 1569, 2, RS, VI
178.2, 1900, 2, FS, V
178.2, 2464, 3, RS, VI
178.8, 1294, 1, LTS, IV
179.3, 1902, 2, FS, V
179.6, 1024, 1, LTS, VI
179.6, 2659, 3, FS, V
179.8, 1882, 2, FS, V
179.9, 2684, 3, LTS, V
180, 2658, 3, FS, V
180.1, 756, 0, LTS, III
180.7, 363, 0, FS, V
181, 2669, 3, LTS, V
181.5, 8, 0, RS, VI
181.7, 0, 0, RS, VI
182, 269, 0, LTS, VI
182.3, 57, 0, RS, VI
182.7, 3448, 4, LTS, V
182.9, 384, 0, FS, V
183.1, 3236, 4, RS, VI
183.2, 2673, 3, LTS, V
183.2, 2685, 3, LTS, V
183.5, 3442, 4, LTS, V
183.9, 1628, 2, RS, VI
184.2, 123, 0, RS, VI
184.2, 143, 0, RS, VI
184.2, 874, 1, RS, VI
184.2, 3446, 4, LTS, V
184.3, 369, 0, FS, V
184.6, 2686, 3, LTS, V
185, 197, 0, RS, VI
185.4, 1546, 2, RS, VI
185.6, 953, 1, RS, VI
186.4, 216, 0, RS, VI
187, 3065, 4, RS, VI
187.1, 1679, 2, RS, VI
187.7, 35, 0, RS, VI
188, 944, 1, RS, VI
188.4, 2680, 3, LTS, V
188.5, 3055, 4, RS, VI
188.9, 3798, 4, LTS, III
189, 3443, 4, LTS, V
189.4, 2278, 2, LTS, III
189.6, 1791, 2, LTS, VI
190.4, 2674, 3, LTS, V
190.8, 174, 0, RS, VI
190.9, 3447, 4, LTS, V
190.9, 3795, 4, LTS, III
192.3, 191, 0, RS, VI
193.1, 238, 0, FS, VI
193.1, 325, 0, RS, V
193.1, 3434, 4, LTS, V
193.2, 2057, 2, LTS, IV
193.8, 3095, 4, RS, VI
193.9, 3804, 4, LTS, III
194.7, 2063, 2, LTS, IV
195.4, 3309, 4, LTS, VI
197.1, 3430, 4, LTS, V
197.6, 2687, 3, LTS, V
198.8, 1543, 2, RS, VI
200.1, 1148, 1, LTS, V
200.5, 390, 0, LTS, V
200.7, 3435, 4, LTS, V
201.2, 1286, 1, FS, IV
201.7, 1165, 1, LTS, V
202.3, 2275, 2, LTS, III
203.1, 1147, 1, LTS, V
203.2, 1718, 2, RS, VI
204.3, 204, 0, RS, VI
204.7, 393, 0, LTS, V
205, 1924, 2, LTS, V
205.3, 400, 0, LTS, V
205.3, 1379, 1, RS, III
205.4, 387, 0, LTS, V
205.4, 402, 0, LTS, V
205.4, 1163, 1, LTS, V
205.6, 334, 0, RS, V
205.8, 404, 0, LTS, V
205.8, 1992, 2, RS, IV
206.5, 394, 0, LTS, V
206.5, 1357, 1, RS, III
206.6, 1158, 1, LTS, V
206.7, 3802, 4, LTS, III
206.9, 1162, 1, LTS, V
207.7, 1790, 2, LTS, VI
207.7, 2670, 3, LTS, V
207.8, 1160, 1, LTS, V
208, 1519, 1, LTS, III
208.1, 1376, 1, RS, III
208.5, 403, 0, LTS, V
208.7, 1908, 2, LTS, V
208.9, 1159, 1, LTS, V
209.1, 709, 0, RS, III
209.1, 1154, 1, LTS, V
209.6, 2122, 2, RS, III
210.4, 3501, 4, RS, IV
210.6, 