8.7, 2822, 3, LTS, IV
10.1, 1304, 1, LTS, IV
14.7, 1306, 1, LTS, IV
17.4, 437, 0, RS, IV
22.8, 1296, 1, LTS, IV
23.1, 508, 0, RS, IV
23.9, 539, 0, LTS, IV
24.4, 3582, 4, LTS, IV
24.8, 2060, 2, LTS, IV
25.4, 1976, 2, RS, IV
28.8, 2066, 2, LTS, IV
29.5, 538, 0, LTS, IV
30.8, 509, 0, FS, IV
35.1, 543, 0, LTS, IV
39.5, 1305, 1, LTS, IV
41.8, 1958, 2, RS, IV
43.6, 3493, 4, RS, IV
43.9, 2061, 2, LTS, IV
44.5, 2057, 2, LTS, IV
44.9, 1194, 1, RS, IV
48.9, 1206, 1, RS, IV
49.7, 3588, 4, LTS, IV
50.7, 2065, 2, LTS, IV
51.3, 1299, 1, LTS, IV
52.1, 3557, 4, FS, IV
54.9, 1288, 1, FS, IV
57.4, 1968, 2, RS, IV
61.2, 2827, 3, LTS, IV
63.6, 2818, 3, LTS, IV
64.8, 1300, 1, LTS, IV
66.5, 1973, 2, RS, IV
67.3, 3506, 4, RS, IV
68.5, 2059, 2, LTS, IV
70.8, 1259, 1, RS, IV
71, 2008, 2, RS, IV
74, 1994, 2, RS, IV
74.1, 1297, 1, LTS, IV
76.5, 540, 0, LTS, IV
78.1, 2823, 3, LTS, IV
79.1, 2744, 3, RS, IV
80, 2067, 2, LTS, IV
81.3, 3579, 4, LTS, IV
82.2, 3584, 4, LTS, IV
82.5, 2035, 2, FS, IV
82.6, 2062, 2, LTS, IV
82.7, 2014, 2, RS, IV
82.7, 2063, 2, LTS, IV
82.9, 2779, 3, RS, IV
83.2, 527, 0, FS, IV
83.8, 2726, 3, RS, IV
84.9, 1276, 1, FS, IV
87.5, 544, 0, LTS, IV
88.8, 1241, 1, RS, IV
90.3, 535, 0, LTS, IV
90.5, 1996, 2, RS, IV
91.9, 2821, 3, LTS, IV
93.8, 2000, 2, RS, IV
94.1, 2820, 3, LTS, IV
94.9, 2730, 3, RS, IV
95.6, 2022, 2, RS, IV
95.9, 2032, 2, FS, IV
96.1, 1982, 2, RS, IV
97.6, 2040, 2, FS, IV
97.9, 2751, 3, RS, IV
98.4, 2763, 3, RS, IV
100.7, 1272, 1, FS, IV
101.2, 2810, 3, FS, IV
102.2, 2826, 3, LTS, IV
102.4, 2006, 2, RS, IV
102.7, 2741, 3, RS, IV
103.8, 2822, 3, LTS, IV
104.2, 1289, 1, FS, IV
105, 2804, 3, FS, IV
105.2, 1974, 2, RS, IV
105.2, 2808, 3, FS, IV
105.3, 2814, 3, FS, IV
105.4, 2794, 3, FS, IV
105.5, 2812, 3, FS, IV
105.6, 533, 0, FS, IV
105.7, 1278, 1, FS, IV
106, 2827, 3, LTS, IV
106.1, 3523, 4, RS, IV
106.3, 2050, 2, FS, IV
108, 1295, 1, FS, IV
109.4, 1985, 2, RS, IV
111.7, 2825, 3, LTS, IV
113.2, 1197, 1, RS, IV
115.3, 1219, 1, RS, IV
116.6, 531, 0, FS, IV
116.8, 538, 0, LTS, IV
117.1, 3580, 4, LTS, IV
117.4, 1963, 2, RS, IV
122, 2034, 2, FS, IV
122.3, 2035, 2, FS, IV
122.9, 1285, 1, FS, IV
123.2, 2819, 3, LTS, IV
123.3, 1988, 2, RS, IV
126.4, 3531, 4, RS, IV
132.1, 1215, 1, RS, IV
135.6, 2728, 3, RS, IV
136.8, 2009, 2, RS, IV
137.8, 539, 0, LTS, IV
139, 3588, 4, LTS, IV
139.7, 3571, 4, FS, IV
140.7, 2025, 2, RS, IV
142.3, 1956, 2, RS, IV
143.2, 3583, 4, LTS, IV
145.1, 446, 0, RS, IV
146.8, 3589, 4, LTS, IV
147, 1299, 1, LTS, IV
148.4, 445, 0, RS, IV
149, 2033, 2, FS, IV
150.2, 1998, 2, RS, IV
150.7, 2040, 2, FS, IV
151, 2011, 2, RS, IV
151.8, 1294, 1, FS, IV
152, 2056, 2, FS, IV
153.3, 1992, 2, RS, IV
154.3, 543, 0, LTS, IV
154.6, 1277, 1, FS, IV
155.6, 1195, 1, RS, IV
156.8, 1296, 1, LTS, IV
157.6, 2051, 2, FS, IV
158, 1976, 2, RS, IV
160.1, 2052, 2, FS, IV
160.9, 2031, 2, FS, IV
162, 2057, 2, LTS, IV
163, 542, 0, LTS, IV
164.1, 2721, 3, RS, IV
164.2, 1275, 1, FS, IV
164.8, 2060, 2, LTS, IV
165, 2734, 3, RS, IV
168, 435, 0, RS, IV
169.3, 2063, 2, LTS, IV
169.3, 2818, 3, LTS, IV
170.2, 2745, 3, RS, IV
171.1, 2824, 3, LTS, IV
171.2, 2754, 3, RS, IV
172.5, 545, 0, LTS, IV
172.9, 2811, 3, FS, IV
173.5, 2821, 3, LTS, IV
174, 2064, 2, LTS, IV
174.1, 2801, 3, FS, IV
174.5, 2805, 3, FS, IV
174.6, 2748, 3, RS, IV
175.4, 537, 0, LTS, IV
180.1, 492, 0, RS, IV
181.3, 2822, 3, LTS, IV
182.1, 1300, 1, LTS, IV
182.4, 2061, 2, LTS, IV
184.5, 1271, 1, FS, IV
184.5, 3553, 4, FS, IV
188.9, 477, 0, RS, IV
191.2, 533, 0, FS, IV
195.8, 536, 0, LTS, IV
197.4, 452, 0, RS, IV
197.5, 1201, 1, RS, IV
201.8, 1247, 1, RS, IV
202, 1193, 1, RS, IV
202, 1196, 1, RS, IV
202, 1206, 1, RS, IV
202, 1213, 1, RS, IV
202, 1223, 1, RS, IV
202, 1227, 1, RS, IV
202, 1230, 1, RS, IV
202, 1231, 1, RS, IV
202, 1239, 1, RS, IV
202, 1240, 1, RS, IV
202, 1243, 1, RS, IV
202, 1252, 1, RS, IV
202, 1255, 1, RS, IV
202, 1257, 1, RS, IV
202, 1258, 1, RS, IV
202, 1260, 1, RS, IV
202, 1261, 1, RS, IV
202, 1268, 1, RS, IV
202.1, 1198, 1, RS, IV
202.1, 1199, 1, RS, IV
202.1, 1209, 1, RS, IV
202.1, 1217, 1, RS, IV
202.1, 1218, 1, RS, IV
202.1, 1221, 1, RS, IV
202.1, 1222, 1, RS, IV
202.1, 1224, 1, RS, IV
202.1, 1225, 1, RS, IV
202.1, 1226, 1, RS, IV
202.1, 1234, 1, RS, IV
202.1, 1235, 1, RS, IV
202.1, 1237, 1, RS, IV
202.1, 1238, 1, RS, IV
202.1, 1242, 1, RS, IV
202.1, 1244, 1, RS, IV
202.1, 1250, 1, RS, IV
202.1, 1254, 1, RS, IV
202.1, 1263, 1, RS, IV
202.1, 1265, 1, RS, IV
202.2, 1214, 1, RS, IV
203.8, 1279, 1, FS, IV
203.9, 1290, 1, FS, IV
204, 1271, 1, FS, IV
204, 1275, 1, FS, IV
204, 1287, 1, FS, IV
204.1, 1280, 1, FS, IV
204.1, 1285, 1, FS, IV
204.1, 1291, 1, FS, IV
204.1, 1294, 1, FS, IV
204.2, 1282, 1, FS, IV
204.2, 1283, 1, FS, IV
204.2, 1295, 1, FS, IV
204.3, 1274, 1, FS, IV
204.3, 1276, 1, FS, IV
204.3, 1284, 1, FS, IV
204.3, 1289, 1, FS, IV
204.4, 1286, 1, FS, IV
204.4, 1293, 1, FS, IV
204.5, 1270, 1, FS, IV
204.5, 1272, 1, FS, IV
204.6, 1277, 1, FS, IV
204.6, 1278, 1, FS, IV
204.6, 1281, 1, FS, IV
204.6, 1288, 1, FS, IV
204.7, 516, 0, FS, IV
204.9, 1292, 1, FS, IV
205, 531, 0, FS, IV
205.1, 525, 0, FS, IV
205.2, 527, 0, FS, IV
205.4, 523, 0, FS, IV
205.4, 526, 0, FS, IV
205.4, 1273, 1, FS, IV
205.4, 2781, 3, RS, IV
205.5, 517, 0, FS, IV
205.5, 521, 0, FS, IV
205.6, 513, 0, FS, IV
205.6, 515, 0, FS, IV
205.6, 519, 0, FS, IV
205.6, 2035, 2, FS, IV
205.6, 2042, 2, FS, IV
205.7, 2031, 2, FS, IV
205.7, 2032, 2, FS, IV
205.7, 2053, 2, FS, IV
205.8, 509, 0, FS, IV
205.8, 520, 0, FS, IV
205.8, 532, 0, FS, IV
205.8, 533, 0, FS, IV
205.8, 2038, 2, FS, IV
205.9, 511, 0, FS, IV
205.9, 522, 0, FS, IV
205.9, 534, 0, FS, IV
205.9, 1306, 1, LTS, IV
205.9, 2033, 2, FS, IV
205.9, 2052, 2, FS, IV
206.1, 529, 0, FS, IV
206.1, 2054, 2, FS, IV
206.2, 1303, 1, LTS, IV
206.2, 2045, 2, FS, IV
206.3, 514, 0, FS, IV
206.4, 1297, 1, LTS, IV
206.4, 2034, 2, FS, IV
206.4, 2041, 2, FS, IV
206.4, 2043, 2, FS, IV
206.4, 2049, 2, FS, IV
206.5, 2044, 2, FS, IV
206.6, 469, 0, RS, IV
206.6, 2039, 2, FS, IV
206.6, 2046, 2, FS, IV
206.6, 2056, 2, FS, IV
206.7, 524, 0, FS, IV
206.7, 1279, 1, FS, IV
206.7, 1287, 1, FS, IV
206.7, 2048, 2, FS, IV
206.7, 2055, 2, FS, IV
206.8, 1280, 1, FS, IV
206.8, 1291, 1, FS, IV
206.8, 2036, 2, FS, IV
206.8, 2037, 2, FS, IV
206.9, 518, 0, FS, IV
206.9, 530, 0, FS, IV
206.9, 1271, 1, FS, IV
206.9, 1284, 1, FS, IV
206.9, 1295, 1, FS, IV
206.9, 2040, 2, FS, IV
207, 1294, 1, FS, IV
207, 1304, 1, LTS, IV
207, 1305, 1, LTS, IV
207, 2050, 2, FS, IV
207.1, 1276, 1, FS, IV
207.1, 1285, 1, FS, IV
207.1, 1290, 1, FS, IV
207.1, 1298, 1, LTS, IV
207.1, 1300, 1, LTS, IV
207.2, 528, 0, FS, IV
207.2, 1270, 1, FS, IV
207.2, 1274, 1, FS, IV
207.2, 1275, 1, FS, IV
207.2, 1282, 1, FS, IV
207.3, 1281, 1, FS, IV
207.3, 1283, 1, FS, IV
207.3, 1286, 1, FS, IV
207.3, 1289, 1, FS, IV
207.4, 1272, 1, FS, IV
207.4, 1278, 1, FS, IV
207.4, 1293, 1, FS, IV
207.4, 2047, 2, FS, IV
207.5, 1277, 1, FS, IV
207.5, 1296, 1, LTS, IV
207.5, 1299, 1, LTS, IV
207.6, 516, 0, FS, IV
207.6, 2811, 3, FS, IV
207.7, 1196, 1, RS, IV
207.7, 1227, 1, RS, IV
207.7, 1258, 1, RS, IV
207.7, 1288, 1, FS, IV
207.8, 1222, 1, RS, IV
207.8, 1252, 1, RS, IV
207.8, 1265, 1, RS, IV
207.9, 1244, 1, RS, IV
207.9, 1302, 1, LTS, IV
208, 523, 0, FS, IV
208, 1243, 1, RS, IV
208, 1292, 1, FS, IV
208.1, 526, 0, FS, IV
208.1, 1206, 1, RS, IV
208.1, 1242, 1, RS, IV
208.1, 1263, 1, RS, IV
208.1, 2051, 2, FS, IV
208.2, 1223, 1, RS, IV
208.2, 1250, 1, RS, IV
208.3, 517, 0, FS, IV
208.3, 519, 0, FS, IV
208.3, 1214, 1, RS, IV
208.3, 1218, 1, RS, IV
208.3, 1224, 1, RS, IV
208.3, 1239, 1, RS, IV
208.3, 1261, 1, RS, IV
208.3, 1273, 1, FS, IV
208.3, 2042, 2, FS, IV
208.3, 2798, 3, FS, IV
208.3, 2814, 3, FS, IV
208.4, 1209, 1, RS, IV
208.4, 1230, 1, RS, IV
208.4, 1235, 1, RS, IV
208.4, 1237, 1, RS, IV
208.4, 1248, 1, RS, IV
208.4, 1268, 1, RS, IV
208.5, 1247, 1, RS, IV
208.6, 1221, 1, RS, IV
208.6, 1231, 1, RS, IV
208.6, 1254, 1, RS, IV
208.6, 1260, 1, RS, IV
208.7, 434, 0, RS, IV
208.7, 1213, 1, RS, IV
208.7, 1226, 1, RS, IV
208.7, 1234, 1, RS, IV
208.8, 1193, 1, RS, IV
208.8, 1199, 1, RS, IV
208.8, 1217, 1, RS, IV
208.8, 1240, 1, RS, IV
208.8, 1255, 1, RS, IV
208.8, 1257, 1, RS, IV
208.9, 1225, 1, RS, IV
208.9, 1238, 1, RS, IV
209, 515, 0, FS, IV
209, 1198, 1, RS, IV
209, 2032, 2, FS, IV
209, 2812, 3, FS, IV
209.1, 2021, 2, RS, IV
209.1, 2035, 2, FS, IV
209.1, 2038, 2, FS, IV
209.2, 1203, 1, RS, IV
209.3, 2056, 2, FS, IV
209.3, 2804, 3, FS, IV
209.6, 525, 0, FS, IV
209.6, 531, 0, FS, IV
209.7, 438, 0, RS, IV
209.7, 484, 0, RS, IV
209.7, 1279, 1, FS, IV
209.8, 2808, 3, FS, IV
210, 2800, 3, FS, IV
210, 3537, 4, RS, IV
210.1, 1285, 1, FS, IV
210.1, 1981, 2, RS, IV
210.2, 510, 0, FS, IV
210.2, 1267, 1, RS, IV
210.2, 1287, 1, FS, IV
210.2, 1291, 1, FS, IV
210.2, 2033, 2, FS, IV
210.3, 2795, 3, FS, IV
210.4, 522, 0, FS, IV
210.4, 2053, 2, FS, IV
210.5, 2810, 3, FS, IV
210.6, 534, 0, FS, IV
210.6, 1294, 1, FS, IV
210.6, 2807, 3, FS, IV
210.7, 532, 0, FS, IV
210.8, 1275, 1, FS, IV
210.8, 1282, 1, FS, IV
211, 432, 0, RS, IV
211, 1274, 1, FS, IV
211.1, 466, 0, RS, IV
211.1, 496, 0, RS, IV
211.2, 512, 0, FS, IV
211.2, 1271, 1, FS, IV
211.2, 1277, 1, FS, IV
211.2, 1283, 1, FS, IV
211.3, 514, 0, FS, IV
211.3, 1284, 1, FS, IV
211.3, 1286, 1, FS, IV
211.3, 1289, 1, FS, IV
211.4, 2031, 2, FS, IV
211.5, 513, 0, FS, IV
211.5, 2003, 2, RS, IV
211.5, 2034, 2, FS, IV
211.6, 1270, 1, FS, IV
211.6, 1295, 1, FS, IV
211.7, 521, 0, FS, IV
211.7, 1293, 1, FS, IV
211.7, 2793, 3, FS, IV
211.8, 1297, 1, LTS, IV
211.9, 529, 0, FS, IV
211.9, 1280, 1, FS, IV
211.9, 1296, 1, LTS, IV
212, 511, 0, FS, IV
212, 1300, 1, LTS, IV
212.1, 527, 0, FS, IV
212.1, 2008, 2, RS, IV
212.2, 1303, 1, LTS, IV
212.2, 2805, 3, FS, IV
212.3, 516, 0, FS, IV
212.3, 1272, 1, FS, IV
212.3, 1276, 1, FS, IV
212.3, 1304, 1, LTS, IV
212.3, 2041, 2, FS, IV
212.5, 523, 0, FS, IV
212.5, 533, 0, FS, IV
212.5, 1194, 1, RS, IV
212.5, 2042, 2, FS, IV
212.5, 2052, 2, FS, IV
212.6, 1279, 1, FS, IV
212.6, 1298, 1, LTS, IV
212.6, 2043, 2, FS, IV
212.6, 2055, 2, FS, IV
212.7, 531, 0, FS, IV
212.7, 1302, 1, LTS, IV
212.8, 519, 0, FS, IV
212.8, 2040, 2, FS, IV
212.9, 1281, 1, FS, IV
212.9, 1287, 1, FS, IV
212.9, 1291, 1, FS, IV
212.9, 2048, 2, FS, IV
213, 2035, 2, FS, IV
213.1, 517, 0, FS, IV
213.1, 1285, 1, FS, IV
213.1, 1299, 1, LTS, IV
213.1, 2033, 2, FS, IV
213.2, 1288, 1, FS, IV
213.2, 1290, 1, FS, IV
213.3, 534, 0, FS, IV
213.4, 515, 0, FS, IV
213.4, 1196, 1, RS, IV
213.4, 1227, 1, RS, IV
213.4, 1258, 1, RS, IV
213.4, 2813, 3, FS, IV
213.5, 525, 0, FS, IV
213.5, 1222, 1, RS, IV
213.5, 1265, 1, RS, IV
213.5, 1294, 1, FS, IV
213.6, 1252, 1, RS, IV
213.7, 1244, 1, RS, IV
213.7, 2049, 2, FS, IV
213.7, 2053, 2, FS, IV
213.7, 2792, 3, FS, IV
213.8, 1282, 1, FS, IV
213.8, 2050, 2, FS, IV
213.9, 1274, 1, FS, IV
214, 530, 0, FS, IV
214, 1243, 1, RS, IV
214, 1275, 1, FS, IV
214, 2038, 2, FS, IV
214.1, 509, 0, FS, IV
214.1, 1242, 1, RS, IV
214.1, 1263, 1, RS, IV
214.1, 1271, 1, FS, IV
214.1, 2037, 2, FS, IV
214.2, 1206, 1, RS, IV
214.2, 1277, 1, FS, IV
214.2, 1286, 1, FS, IV
214.2, 2046, 2, FS, IV
214.3, 526, 0, FS, IV
214.3, 1250, 1, RS, IV
214.3, 1283, 1, FS, IV
214.3, 1289, 1, FS, IV
214.4, 1214, 1, RS, IV
214.4, 1223, 1, RS, IV
214.4, 1236, 1, RS, IV
214.5, 483, 0, RS, IV
214.5, 514, 0, FS, IV
214.5, 1218, 1, RS, IV
214.5, 1224, 1, RS, IV
214.5, 1295, 1, FS, IV
214.5, 1306, 1, LTS, IV
214.5, 2001, 2, RS, IV
214.5, 2056, 2, FS, IV
214.6, 1239, 1, RS, IV
214.6, 1261, 1, RS, IV
214.7, 1209, 1, RS, IV
214.7, 1235, 1, RS, IV
214.7, 1237, 1, RS, IV
214.8, 1230, 1, RS, IV
214.8, 1268, 1, RS, IV
214.8, 2809, 3, FS, IV
215, 2045, 2, FS, IV
215.1, 1221, 1, RS, IV
215.1, 1254, 1, RS, IV
215.2, 1231, 1, RS, IV
215.2, 1247, 1, RS, IV
215.2, 1260, 1, RS, IV
215.3, 1226, 1, RS, IV
215.3, 1234, 1, RS, IV
215.4, 1213, 1, RS, IV
215.4, 2034, 2, FS, IV
215.4, 2036, 2, FS, IV
215.5, 1199, 1, RS, IV
215.5, 1217, 1, RS, IV
215.6, 524, 0, FS, IV
215.6, 1193, 1, RS, IV
215.6, 1240, 1, RS, IV
215.6, 1255, 1, RS, IV
215.6, 1257, 1, RS, IV
215.6, 1986, 2, RS, IV
215.6, 2055, 2, FS, IV
215.7, 1225, 1, RS, IV
215.7, 1238, 1, RS, IV
215.8, 1287, 1, FS, IV
215.9, 1198, 1, RS, IV
216, 523, 0, FS, IV
216, 1293, 1, FS, IV
216, 2032, 2, FS, IV
216.3, 1285, 1, FS, IV
216.3, 1296, 1, LTS, IV
216.5, 1957, 2, RS, IV
216.5, 2811, 3, FS, IV
216.6, 1297, 1, LTS, IV
216.6, 2804, 3, FS, IV
216.6, 2815, 3, FS, IV
216.7, 519, 0, FS, IV
216.7, 527, 0, FS, IV
216.7, 1303, 1, LTS, IV
216.9, 1300, 1, LTS, IV
217.2, 1286, 1, FS, IV
217.3, 1270, 1, FS, IV
217.3, 1278, 1, FS, IV
217.3, 1304, 1, LTS, IV
217.4, 1301, 1, LTS, IV
217.4, 1305, 1, LTS, IV
217.5, 518, 0, FS, IV
217.5, 1282, 1, FS, IV
217.5, 1302, 1, LTS, IV
217.7, 1275, 1, FS, IV
217.7, 1298, 1, LTS, IV
217.7, 1299, 1, LTS, IV
217.7, 2814, 3, FS, IV
217.8, 1271, 1, FS, IV
217.8, 1279, 1, FS, IV
217.8, 2047, 2, FS, IV
217.8, 3571, 4, FS, IV
218, 503, 0, RS, IV
218, 1291, 1, FS, IV
218.1, 516, 0, FS, IV
218.3, 1283, 1, FS, IV
218.4, 1982, 2, RS, IV
218.5, 1287, 1, FS, IV
218.5, 2040, 2, FS, IV
218.6, 522, 0, FS, IV
218.6, 2042, 2, FS, IV
218.7, 1289, 1, FS, IV
218.7, 1294, 1, FS, IV
218.9, 1274, 1, FS, IV
219.1, 521, 0, FS, IV
219.1, 1227, 1, RS, IV
219.2, 513, 0, FS, IV
219.2, 523, 0, FS, IV
219.2, 1276, 1, FS, IV
219.2, 2052, 2, FS, IV
219.3, 1285, 1, FS, IV
219.6, 1306, 1, LTS, IV
219.9, 2038, 2, FS, IV
220, 2005, 2, RS, IV
220.1, 529, 0, FS, IV
220.1, 2055, 2, FS, IV
220.3, 531, 0, FS, IV
220.4, 2031, 2, FS, IV
220.7, 1296, 1, LTS, IV
220.8, 534, 0, FS, IV
221, 2053, 2, FS, IV
221.1, 2037, 2, FS, IV
221.2, 526, 0, FS, IV
221.2, 1303, 1, LTS, IV
221.4, 1286, 1, FS, IV
221.4, 1297, 1, LTS, IV
221.6, 2048, 2, FS, IV
221.8, 1300, 1, LTS, IV
222, 1305, 1, LTS, IV
222, 2033, 2, FS, IV
222.1, 1284, 1, FS, IV
222.1, 1301, 1, LTS, IV
222.2, 1299, 1, LTS, IV
222.3, 1302, 1, LTS, IV
222.3, 1304, 1, LTS, IV
222.6, 443, 0, RS, IV
222.8, 1298, 1, LTS, IV
223, 442, 0, RS, IV
223.7, 2808, 3, FS, IV
224, 3588, 4, LTS, IV
224.7, 1306, 1, LTS, IV
225.1, 1296, 1, LTS, IV
225.6, 1955, 2, RS, IV
225.7, 1303, 1, LTS, IV
226.2, 448, 0, RS, IV
226.2, 1297, 1, LTS, IV
226.5, 434, 0, RS, IV
226.5, 467, 0, RS, IV
226.7, 1299, 1, LTS, IV
226.7, 1300, 1, LTS, IV
227.1, 1302, 1, LTS, IV
227.3, 1304, 1, LTS, IV
227.5, 1981, 2, RS, IV
227.9, 1298, 1, LTS, IV
228, 1305, 1, LTS, IV
228.2, 2016, 2, RS, IV
230.3, 1296, 1, LTS, IV
231.2, 1297, 1, LTS, IV
232.2, 1303, 1, LTS, IV
235.5, 1300, 1, LTS, IV
238.3, 540, 0, LTS, IV
238.6, 539, 0, LTS, IV
240.1, 2066, 2, LTS, IV
242.9, 544, 0, LTS, IV
245.1, 535, 0, LTS, IV
245.9, 2059, 2, LTS, IV
246.8, 2821, 3, LTS, IV
251.8, 2058, 2, LTS, IV
252.8, 2828, 3, LTS, IV
258.7, 2057, 2, LTS, IV
